Beam	Analysis Property	Design Property	Actual Ratio 	Allowable Ratio	Normalized Ratio (Actual/Allowable)	Clause	L/C	Ax in2	Iz in4	Iy in4	Ix in4
20	UA100X100X8 RA	UA100x50x6 RA	 0.497	 1.000	 0.497	EC-6.2.3 (T)	1	 1.350	 2.319	 0.240	 0.025
19	UA100X100X8 RA	UA100x50x6 RA	 0.330	 1.000	 0.330	EC-6.3.3-662	1	 1.350	 2.319	 0.240	 0.025
18	UA100X100X8 RA	UA100x50x6 RA	 0.881	 1.000	 0.881	EC-6.3.3-662	3	 1.350	 2.319	 0.240	 0.025
17	UA100X100X8 RA	UA100x50x6 RA	 0.551	 1.000	 0.551	EC-6.2.3 (T)	3	 1.350	 2.319	 0.240	 0.025
16	UA100X100X8 RA	UA100x50x6 RA	 0.555	 1.000	 0.555	EC-6.2.3 (T)	1	 1.350	 2.319	 0.240	 0.025
15	UA100X100X8 RA	UA100x50x6 RA	 0.118	 1.000	 0.118	EC-6.2.3 (T)	3	 1.350	 2.319	 0.240	 0.025
14	UA100X100X8 RA	UA100x50x6 RA	 0.594	 1.000	 0.594	EC-6.3.3-662	3	 1.350	 2.319	 0.240	 0.025
13	UB457X152X52	UB356X171X45	 0.847	 1.000	 0.847	EC-6.3.3-662	3	 8.882	 290.704	 19.484	 0.381
12	UB457X152X52	UB356X171X45	 0.595	 1.000	 0.595	EC-6.3.3-662	1	 8.882	 290.704	 19.484	 0.381
11	UB457X152X52	UB356X171X45	 0.724	 1.000	 0.724	EC-6.3.3-662	1	 8.882	 290.704	 19.484	 0.381
10	UB457X152X52	UB356X171X45	 0.724	 1.000	 0.724	EC-6.3.3-662	1	 8.882	 290.704	 19.484	 0.381
9	UB457X152X52	UB356X171X45	 0.585	 1.000	 0.585	EC-6.3.3-662	1	 8.882	 290.704	 19.484	 0.381
8	UB457X152X52	UB356X171X45	 0.505	 1.000	 0.505	EC-6.3.3-662	1	 8.882	 290.704	 19.484	 0.381
7	UB533X210X82	UB406X178X74	 0.850	 1.000	 0.850	EC-6.3.2 LTB	3	 14.648	 655.885	 37.239	 1.508
6	UB533X210X82	UB406X178X74	 0.838	 1.000	 0.838	EC-6.3.2 LTB	1	 14.648	 655.885	 37.239	 1.508
5	UB533X210X82	UB406X178X74	 0.826	 1.000	 0.826	EC-6.3.2 LTB	1	 14.648	 655.885	 37.239	 1.508
4	UC356X368X129	UC356X368X129	 0.490	 1.000	 0.490	EC-6.2.9.1  	3	 25.420	 965.809	 350.766	 3.667
3	UC356X368X129	UC356X368X129	 0.356	 1.000	 0.356	EC-6.2.9.1  	3	 25.420	 965.809	 350.766	 3.667
2	UC254X254X73	UC203X203X46	 0.777	 1.000	 0.777	EC-6.3.3-662	1	 9.099	 109.795	 37.239	 0.532
1	UC356X368X129	UC356X368X129	 0.757	 1.000	 0.757	EC-6.3.3-662	3	 25.420	 965.809	 350.766	 3.667
